Budget 2025-2026,,,,,,,
Poste de dépense,Investissement,Coûts Mensuels,Budget ,Pourcentage,Description,,
Location du local ,-,"CHF6,000","CHF72,000",6.26%,"Local de 150m² à Genève avec bureaux privatifs, coworking et salle de conférence",,
Salaires équipe opérationnelle,-,"CHF14,000","CHF168,000",14.61%,Équipe de développement et gestion (2-3 personnes),,
Matériel informatique & Aménagement,"CHF40,000",-,"CHF40,000",3.48%,"Ordinateurs, tablettes, caméras, micros, casques, serveurs",,
Développement infrastructure IA,"CHF40,000",-,"CHF40,000",3.48%,Développement outils IA offline et indépendants,,
Apprentissage et Stages,-,-,"CHF50,000",4.35%,10 formations sur place au centre,,
Développement de la platform tarmaq,"CHF30,000",,"CHF30,000",2.61%,Promotion du projet et acquisition utilisateurs,,
Organisation d’événements,-,-,"CHF24,000",2.09%,4 événements pendant l’année,,
Voyages pour les jeunes,-,-,"CHF80,000",6.96%,Organisation de voyages éducatifs,,
Charges et frais divers,-,"CHF1,000","CHF12,000",1.04%,"Électricité, internet, assurances, comptabilité, légal, impression et déplacements",,
Programme de mentors,-,"CHF2,000","CHF24,000",2.09%,Réseau de mentors experts en IA et tech,,
Soutien aux projets ONG et Impact,,,"CHF200,000",17.39%,Cofinancement et réalisaition de projet de transformation digitale ou de startups,,
Création identité de marque et site,"CHF10,000",-,"CHF10,000",0.87%,Développement complet de l'identité visuelle Tarmaq,,
Fond pour acquisition du local,,-,"CHF400,000",34.78%,Fonds constitué pour acquérir le local,,
TOTAL GÉNÉRAL,"CHF120,000","CHF23,000","CHF1,150,000",1,Budget total annuel projet Tarmaq,,
,,,,,,,
,,,,,,,
Lieu,2 ans de loyer,4000,48000,,,,
,2 ans de 1 staff,5000,60000,,,,
,"Events, Matos and Subscriptions",,30000,,,,
,,,,,Loyers et charges,7.3%,"CHF84,000"
,,,,,Création du concept,12.5%,"CHF144,000"
Opérationel,,,,,"Soutien à l'éducation, l'économie et la communauté genevoise ",45.4%,"CHF522,000"
,,,,,Acquisiton future du local,34.8%,"CHF400,000"
,,,,,,,
,,Poste de dépense,Budget ,Description,,,
,,Location du local ,"CHF72,000","Local de 150m² à Genève avec bureaux privatifs, coworking et salle de conférence",,96000,8000
,,Salaires équipe opérationnelle,"CHF168,000",Équipe de développement et gestion (2-3 personnes),,72000,6000
,,Matériel informatique & Aménagement,"CHF40,000","Ordinateurs, tablettes, caméras, micros, casques, serveurs",,,
,,Développement infrastructure IA,"CHF40,000",Développement et Licence d'outils IA offline et indépendants,,,
,,Apprentissage et Stages,"CHF50,000",3 apprentis et des stagiaires ponctuels formé au centre ,Pack Partenaire,Platine,100000
,,Marketing et communication,"CHF30,000",Promotion du projet et développement du réseau,,Gold,50000
,,Organisation d’événements,"CHF24,000",4 événements et 12 workshops par an,,Silver,25000
,,Voyages pour les jeunes,"CHF80,000",Financement et organisation de voyages éducatifs,,Bronze,10000
,,Charges et frais divers,"CHF12,000","Électricité, internet, assurances, comptabilité, légal, impression et déplacements",,,
,,Programme de mentors,"CHF24,000",Réseau de mentors experts en IA et tech,,,
,,Soutien aux projets ONG et Impact,"CHF150,000",Cofinancement et réalisaition de projet de transformation digitale ou de startups,,,
,,Création identité de marque et site,"CHF10,000",Développement complet de l'identité visuelle Tarmaq,,,
,,Fond pour acquisition du local,"CHF200,000",Fonds de réserve pour l'acquisition du local,,,
,,TOTAL GÉNÉRAL,900000,Budget total annuel projet Tarmaq,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,Organisme/Partenaire,Montant (CHF),,,,
,,Hospice général,50000,,,,
,,Ville et canton de Genève,50000,,,,
,,Département d'instruction publique,50000,,,,
,,Département de la cohésion sociale et de la solidarité,50000,,,,
,,Fondations privées,400000,,,,
,,Loterie Romande,100000,,,,
,,Entreprises Membres et ONG partenaires locales,50000,,,,
,,Apport Perspectives Jeunesse,150000,,,,
,,Total,900'000,,,,
